cosmograph,tradition,region,dates,type,domain,topology,human_position,liberation_path,primary_sources
Three Worlds,Paleolithic Shamanism,Eurasia,50000 BCE+,Metaphysical,Cosmos,Vertical Layers,Mediator,Shamanic ascent,Ethnographic reconstruction
World Tree,Proto-Indo-European,Eurasia,Prehistoric,Metaphysical,Cosmos,Tree,Midpoint,Axis ascent,Comparative mythology
Megalithic Sky Map,Neolithic Europe,Europe,3500 BCE,Topological,Cosmos,Astronomical,Observer,Alignment,"Stonehenge, Newgrange"
Sumerian Cosmos,Sumerian,Mesopotamia,3500 BCE,Metaphysical,Cosmos,Layered,Servant of gods,Divine order,"ETCSL, Enuma Elish"
Babylonian World Map,Babylonian,Mesopotamia,600 BCE,Topological,Earth,Circular Disk,City-centered,None,BM 92687
Egyptian Cosmos,Egyptian,Nile Valley,3000 BCE,Metaphysical,Cosmos,Layered Geography,Participant in Ma'at,Afterlife navigation,Pyramid Texts
Duat Map,Egyptian,Nile Valley,2000 BCE,Metaphysical,Afterlife,Journey Map,Soul traveler,Solar union,Amduat
Zoroastrian Cosmos,Iranian,Persia,1000 BCE,Metaphysical,Cosmos,Dualistic,Cosmic combatant,Frashokereti,Avesta
Vedic Three Worlds,Vedic,India,1500 BCE,Metaphysical,Cosmos,Triple Realm,Sacrificer,Ritual ascent,Rig Veda
Puranic Universe,Hindu,India,300 BCE+,Metaphysical,Cosmos,Concentric Rings,Karma-bound soul,Moksha,Bhagavata Purana
Jain Lokapurusha,Jain,India,500 BCE,Metaphysical,Cosmos,Cosmic Person,Jiva,Liberation,Tiloya Pannatti
Buddhist Meru Cosmos,Buddhist,India,300 BCE,Metaphysical,Cosmos,Concentric Realms,Sentient being,Nirvana,Abhidharmakosa
Abhidharma Mind Map,Buddhist,India,300 BCE,Psychological,Mind,Taxonomic Network,Observer,Awakening,Dhammasangani
Pañca-Kośa,Upanishadic,India,700 BCE,Psychological,Consciousness,Nested Layers,Atman,Self-realization,Taittiriya Upanishad
Sāṃkhya Tattvas,Hindu,India,500 BCE,Psychological,Reality,Emanation Tree,Purusha,Discrimination,Sāṃkhya Kārikā
Yoga Psychology,Hindu,India,300 BCE,Psychological,Mind,Developmental,Practitioner,Samadhi,Yoga Sutras
Homeric Cosmos,Greek,Greece,800 BCE,Topological,Cosmos,Flat Disk,Hero,Fate,Iliad
Hesiodic Cosmos,Greek,Greece,700 BCE,Mythic,Cosmos,Genealogical Tree,Mortal,Divine alignment,Theogony
Pythagorean Cosmos,Greek,Greece,600 BCE,Philosophical,Cosmos,Numerical Harmony,Rational knower,Purification,Aristotle
Platonic Cosmos,Greek,Greece,360 BCE,Metaphysical,Being,Hierarchy,Rational soul,Ascent to Forms,Timaeus
Aristotelian Cosmos,Greek,Greece,350 BCE,Scientific,Cosmos,Nested Spheres,Rational animal,Contemplation,De Caelo
Stoic Cosmos,Greek-Roman,Mediterranean,300 BCE,Philosophical,Cosmos,Living Organism,Rational part,Living by Logos,Diogenes Laertius
Hermetic Cosmos,Hermetic,Egypt,100 BCE,Mystical,Soul,Planetary Ascent,Divine spark,Gnosis,Corpus Hermeticum
Gnostic Pleroma,Gnostic,Mediterranean,100 CE,Mystical,Spirit,Emanation Tree,Exiled spark,Return to Fullness,Nag Hammadi
Neoplatonic Cosmos,Neoplatonic,Mediterranean,250 CE,Metaphysical,Being,Emanation,Soul,Henosis,Plotinus
Proclean Cosmos,Neoplatonic,Mediterranean,450 CE,Metaphysical,Being,Hyper-hierarchy,Soul,Reversion,Proclus
Merkabah Cosmos,Jewish,Levant,200 CE,Mystical,Heaven,Palace Ascent,Mystic,Heavenly ascent,Hekhalot
Kabbalistic Tree,Jewish,Europe,1200 CE,Mystical,Being,Graph Tree,Soul,Devekut,Zohar
Christian Celestial Hierarchy,Christian,Byzantine,500 CE,Metaphysical,Heaven,Nine Orders,Human,Union with God,Pseudo-Dionysius
Great Chain of Being,Christian,Europe,500 CE,Metaphysical,Reality,Hierarchy,Midpoint,Sanctification,Aquinas
Islamic Falasifa Cosmos,Islamic,Middle East,900 CE,Metaphysical,Cosmos,Spheres,Rational soul,Intellect,Ibn Sina
Illuminationist Cosmos,Islamic,Persia,1200 CE,Mystical,Being,Light Hierarchy,Soul,Illumination,Suhrawardi
Akbarian Cosmos,Sufi,Islamic World,1200 CE,Mystical,Being,Levels of Being,Perfect Human,Realization,Ibn Arabi
Mappa Mundi,Medieval Christian,Europe,1300 CE,Topological,World,Sacred Geography,Pilgrim,Salvation,Hereford Map
Dantean Cosmos,Christian,Italy,1320 CE,Narrative Cosmograph,Soul,Vertical Journey,Pilgrim,Beatific Vision,Divine Comedy
Llullian Cosmos,Christian,Spain,1300 CE,Logical Cosmograph,Knowledge,Combinatorial Wheels,Knower,Divine understanding,Ars Magna
Fludd Cosmos,Rosicrucian,Europe,1600 CE,Esoteric,Cosmos,Great Chain,Microcosm,Spiritual ascent,Fludd
Kircher Cosmos,Jesuit,Europe,1600 CE,Universal Cosmograph,Knowledge,Hybrid Diagram,Scholar,Knowledge,Kircher
Copernican Cosmos,Scientific,Europe,1543,Scientific,Cosmos,Heliocentric,Observer,Knowledge,De Revolutionibus
Keplerian Cosmos,Scientific,Europe,1596,Scientific,Cosmos,Platonic Geometry,Observer,Mathematical insight,Mysterium Cosmographicum
Bruno Infinite Cosmos,Philosophical,Europe,1584,Metaphysical,Cosmos,Infinite Space,Infinite being,Intellectual liberation,Bruno
Newtonian Universe,Scientific,Europe,1687,Scientific,Cosmos,Infinite Mechanics,Observer,Knowledge,Principia
Linnaean Taxonomy,Scientific,Europe,1735,Classification,Life,Tree,Naturalist,Knowledge,Systema Naturae
Darwinian Tree,Scientific,Europe,1859,Evolutionary,Life,Branching Tree,Species,Adaptation,Origin of Species
Theosophical Cosmos,Theosophy,Global,1888,Esoteric,Spirit,Layered Planes,Soul,Evolution,Secret Doctrine
Anthroposophical Cosmos,Anthroposophy,Europe,1904,Esoteric,Spirit,Evolutionary Hierarchy,Ego,Spiritual science,Steiner
Freud Topography,Psychology,Europe,1900,Psychological,Mind,Layered,Ego,Analysis,Interpretation of Dreams
Jungian Psyche,Psychology,Europe,1915+,Psychological,Psyche,Mandala,Self,Individuation,CW9
Psychosynthesis,Psychology,Europe,1920+,Psychological,Psyche,Developmental,Self,Integration,Assagioli
